ts,elapsed_s,iters,errors,rps,p50_ms,p99_ms,max_ms
1780924164,9300,463608,0,49.8,0.40,7.92,8.55
1780924224,9360,466599,0,49.8,0.38,7.87,8.41
1780924284,9420,469590,0,49.8,0.39,7.88,8.59
1780924344,9480,472581,0,49.8,0.42,7.93,8.52
1780924404,9540,475572,0,49.8,0.38,7.87,8.53
1780924464,9600,478563,0,49.8,0.41,7.86,8.26
1780924524,9660,481554,0,49.8,0.40,7.86,8.37
1780924584,9720,484545,0,49.8,0.41,7.86,8.35
1780924644,9780,487536,0,49.8,0.39,7.86,8.73
1780924704,9840,490527,0,49.8,0.39,7.81,8.18
1780924764,9900,493518,0,49.8,0.40,7.82,8.22
1780924824,9960,496509,0,49.8,0.41,7.83,8.26
1780924884,10020,499500,0,49.8,0.40,7.82,8.23
1780924944,10080,502491,0,49.8,0.42,7.85,8.43
1780925004,10140,505482,0,49.8,0.42,7.90,8.43
1780925064,10200,508473,0,49.8,0.40,7.77,8.26
1780925124,10260,511464,0,49.8,0.38,7.81,8.26
1780925184,10320,514455,0,49.8,0.42,7.83,8.21
1780925244,10380,517446,0,49.8,0.40,7.85,8.45
1780925304,10440,520437,0,49.8,0.37,7.84,8.30
1780925364,10500,523428,0,49.8,0.39,7.83,8.26
1780925424,10560,526419,0,49.8,0.39,7.97,8.35
1780925484,10620,529410,0,49.8,0.38,7.93,8.35
1780925544,10680,532401,0,49.8,0.40,7.85,8.35
1780925604,10740,535392,0,49.8,0.40,7.89,8.59
1780925664,10800,538383,0,49.8,0.40,7.94,8.59
1780925724,10860,541374,0,49.8,0.41,7.81,8.20
1780925784,10920,544365,0,49.8,0.39,7.84,8.41
1780925844,10980,547356,0,49.8,0.41,7.85,8.17
1780925904,11040,550347,0,49.8,0.40,7.84,8.22
1780925964,11100,553338,0,49.8,0.41,7.83,8.22
1780926024,11160,556329,0,49.8,0.41,7.81,8.21
1780926084,11220,559320,0,49.8,0.38,7.83,8.16
1780926144,11280,562311,0,49.8,0.40,7.85,8.63
1780926204,11340,565302,0,49.8,0.41,7.83,8.60
1780926264,11400,568293,0,49.8,0.38,7.77,8.67
1780926324,11460,571284,0,49.8,0.40,7.79,8.67
1780926384,11520,574275,0,49.8,0.38,7.84,8.39
1780926444,11580,577266,0,49.8,0.39,7.89,8.30
1780926504,11640,580257,0,49.8,0.39,7.88,8.61
